ARTICLE	VENITEM	VENITEM2
8393259870	B12011DSSACIDIM	SIBS
8393259873	B12011DSSAPLDIM	SIBS
8393259934	R11952DSBAGWBSSV8	SIRS
8393260092	N12024DSSDPEDI	SINS
8393260164	B12067 SBAPSM	SCB
8393260167	B12067 SBABSM	SCB
8393260176	B12200DSBAGWM	SIB
8393260185	B11879 SBABSM	SCB
8393260197	B11713DSSABODIM	SIBS
8393260293	B15444MSSBKLEM	MRB
8393260400	D15530MSS	MD
8393260401	D15436MSS	MD
8393260453	B15475MSSADIM	MB
8393263060	R12230 887	GR
8393263061	R12230 8R7	GR
8393263197	N12195DSSADI17	SIN
8393263358	R15472MSSBME10	MRS
8393263383	R15547MSS105	MR
8393263505	R15585MSSBBO10	MRS
8393263582	B12133DS8ABOGGBDL	SIBS
8393263583	B12133DS8ABOGGBDM	SIBS
8393263597	N12195 S417	SN
8393263598	N12195 S421	SN
8393263600	N12196 S434	SN
8393263634	N12195DSSADI24	SIN
8393263635	N12196DSSADI34	SIN
8393263751	R12230 8R5	GR
8393263764	B15461MSSBLAM	MB
8393263856	D15609MSS	MD
8393264225	B12101 SBAPSL	SCB
8393264226	B12101 SBAPSM	SCB
8393264240	N12160DS8ABOGGBD34	SINS
8393264242	N12161DS8AHEGGBD	SINS
8393264247	R12134DS8ABOGGBD6	SIRS
8393264267	R12135DS8ABOGGBD6	SIRS
8393264359	B12224D88ADI	GB
8393264376	N12123D88ADIM	GN
8393264487	R12143DSBABD8	SIRP
8393264495	R12143DSSADI7	SIRP
8393264497	R12143DSSADI8	SIRP
8393264579	R12229D88ADI5	GR
8393264684	E12163DS8AHOGGBD	SIES
8393265937	T7047QGSTBRAC	WB
8393266335	B11544 S4BHEGOM	SBS
8393266341	B11544 SSBBTIBM	SBS
8393266366	B12306 SBBQMUMM	SBS
8393266438	B11994DSBABDM	SIB
8393266485	R12357DSSADI8	SIRP
8393266571	R11805DSBAHEBOBD6	SIRS
8393266577	R11805DSBAHEBOBD9	SIRS
8393266661	R12312DSSAAHDI6	SIRA
8393266663	R12312DSSAAHDI7	SIRA
8393266943	R15585MSSBPY10	MRS
8393267022	R15650MSS10	MR
8393267033	R15650MSS9	MR
8393268142	N12523 SBABS18	SNS
8393268143	N12523 SBAPS18	SNS
8393268206	B12421DSSAPLDIM	SIBS
8393268646	B12394 SBBUMM	SBS
8393268665	E12267DSBABTBTGW	SIES
8393268671	E12404 S8AGABOLB	SE
8393268683	N12403 S8EBOGAGP36	SNS
8393268749	R12382 SBAGOGO8	SRS
8393269282	R15653MS810	MR
8393269601	R12382 B8ABOGA6	SRS
8393271491	B12485DSBABDM	SIB
8393271546	B12577 SSBGUM	SCB
8393271547	B12577 SSBHEM	SCB
8393271579	B12582DSBABDM	SIB
8393271623	B12611DSSDBODIM	SIBS
8393271625	B12611DSSDHWGWM	SIBS
8393271630	B12616DSSDBODIM	SIBS
8393271797	N09328DSBABD36	SINS
8393274057	B12683DSSADIM	SIB
8393274097	D15041MBBBLA	MD
8393274141	N12683DSSADIM	SIN
8393274142	N12683 S4M	SN
8393282692	E12747DSSABODI	SIES
8393282693	E12747DSSAIBDI	SIES
8393282694	E12747DSSALCDI	SIES
8393217347	R08756 SSAMODI7	SIRPET
8393220672	R09501 SS7	SR
8393223405	B04476 SSAMODIM	SIBS
8393223538	R05727MBB10	MR
8393223925	R08007DSSAMODI8	SIRS
8393224347	B05708MBBM	MB
8393227892	R05823MSSBBO7	MRS
8393235279	S0T257 SSABD	MM
8393235934	B09458 SSM	SB
8393235961	N08136 SSABO18	SNS
8393236329	B11193D88AAMDIM	GB
8393244335	N11272 SC36	SN
8393248186	N11500 SS24	SN
8393250341	D11654D88ADI	GD
8393250640	D15307MSS	MD
8393251527	R11745D88ADI7	GR
8393253035	D15224MSSBPY	MD
8393253971	R11829DSSAPLDI6	SIRS
8393253981	R11829DSSAHEDI6	SIRS
8393254367	R11818DSBDHEGW6	SIRS
8393254397	R11818 SBAAMPS6	SRS
8393257281	D15476MBBBME	MD
8393257430	R11937 SS7	SR
8393257452	E11980 SSABOHE	SE
8393257699	E11931 S8	SE
8393257725	B11713 SBAAMHPM	SBS
8393260104	B11777 88BKLEM	GB
8393260200	B12038DSSADIDIM	SIB
8393263742	R12230 885	GR
8393264378	N12152D88ADI18	GN
8393264485	R12143DSBABD7	SIRP
8393264601	R12229D8RADI6	GR
8393266954	R15585MSSBPY9	MRS
8393268277	R12443DSSABTDI6	SIRS
8393268904	R11952DSSADI8	SIRP
8393271652	B12703 B8ABOGAM	SBS
8393211495	R08916DSSAAMDI6	SIRS
8393223547	B05735MSSM	MB
8393232152	B05906MSSCMLEM	MRB
8393233375	B07369DSSADIM	SIB
8393235978	R09330 SSAIB5	SRS
8393235996	R09330 SSABO7	SRS
8393244269	B11231DSSDPEDIM	SIBS
8393246774	E11407 SSACC	SE
8393254801	R11805 S8AGOIY7	SRS
8393260175	B12200DSBAGWS	SIB
8393263392	R15547MSS85	MR
8393263599	N12195 S424	SN
8393263823	B15608MSSBKLEM	MRB
8393266437	B11994DSBABDL	SIB
8393266573	R11805DSBAHEBOBD7	SIRS
8393271629	B12613 S8BBOM	SCB
8393206554	B08063DSSABODIM	SIBS
8393239200	R15064MSS12	MR
8393245652	B15162MSSBKM	MRB
8393247431	BC0338 SSL	SCB
8393247438	D11511 SS	SD
8393251520	E11744D88ADI	GE
8393254106	E11761DSSADI	SIE
8393254106	nan	SIE
8393264430	R12333D88ADI7	GR
8393266352	B11904 SSM	SB
8393236332	B11193D88ACIDIM	GB
8393238989	R05920MSSBTE10	MRS
8393250237	R11645DSSADI7	SIRP
8393253499	B15405MTBBTEBO	MBB
8393254789	R11805 SBAIBAHES6	SRS
8393257693	B11960 S8S	SB
8393259942	R11952DSBABD7	SIRP
8393266681	R12312DSSAPLDI6	SIRA
8393221158	R05687MSS8	MR
8393239451	R11150 B86	SR
8393246770	E11407 SSAAM	SE
8393250487	R15300MSSABD10	MRP
8393250821	R15258MSSASA7	MRP
8393253037	D15224MSS	MD
8393253959	R11829DSSAAMDI5	SIRS
8393257451	E11980 SSAAHBT	SE
8393260055	E12036DSSABODI	SIES
8393260268	B15500MSSBTEBRLEM	MRB
8393263345	R15472MSS10	MR
8393264245	R12134DS8ABOGGBD5	SIRS
8393265783	R15602MSS9	MR
8393266697	R12264D88ADI6	GR
8393268700	N12497 SBDHEAMM	SNS
8393274175	R05719MBBBLA10	MRS
